bench,ORDER,n,t
create,2,138,0.00011716812500000002
create,2,139,0.000117119
create,2,140,0.00011946450000000001
create,2,141,0.00011906900000000001
create,2,142,0.00011917899999999999
create,2,143,0.00012003025000000002
create,2,144,0.0001213595
create,2,145,0.00012066212499999999
create,2,146,0.00011905262500000001
create,2,147,0.00012025025
create,2,148,0.00011926087500000001
create,2,149,0.00011886075000000001
create,2,150,0.00011731150000000002
create,2,151,0.00011841025000000002
create,2,152,0.00011643212500000001
create,2,153,0.00011753087500000002
create,2,154,0.00011873962500000001
create,2,155,0.00011810775000000001
create,2,156,0.00011736649999999998
create,2,157,0.00011808025000000003
create,2,158,0.00012022275000000001
create,2,159,0.00011953587500000003
create,2,160,0.00011596525
create,2,161,0.000118574625
create,2,162,0.0001193715
create,2,163,0.000120123875
create,2,164,0.00011813525000000004
create,2,165,0.00011926150000000002
create,2,166,0.00011967337500000001
create,2,167,0.0001193545
create,2,168,0.000119783375
create,2,169,0.000117936875
create,2,170,0.000118602125
create,2,171,0.000119289
create,2,172,0.00011853074999999999
create,2,173,0.00011819025000000001
create,2,174,0.00011706462500000001
create,2,175,0.00011843712499999998
create,2,176,0.000122183875
create,2,177,0.00011713012499999999
create,2,178,0.0001230515
create,2,179,0.00011909125
create,2,180,0.00011822825
create,2,181,0.00011821775000000001
create,2,182,0.000122128875
create,2,183,0.000124051375
create,2,184,0.00012096462500000001
create,2,185,0.0001174215
create,2,186,0.00012263962499999999
create,2,187,0.000122832125
create,2,188,0.00012025025
create,2,189,0.000123299
create,2,190,0.00011909650000000001
create,2,191,0.00012055274999999999
create,2,192,0.000123765875
create,2,193,0.000121019
create,2,194,0.00012198087500000001
create,2,195,0.000122008375
create,2,196,0.00012225525
create,2,197,0.000122156375
create,2,198,0.000121623375
create,2,199,0.00012482075
create,2,200,0.00012137649999999999
create,2,201,0.00012365062499999997
create,2,202,0.00012022275
create,2,203,0.000123464
create,2,204,0.0001254415
create,2,205,0.00012063462500000001
create,2,206,0.000125337375
create,2,207,0.00012192587500000001
create,2,208,0.00012180475
create,2,209,0.0001221675
create,2,210,0.00012328787499999997
create,2,211,0.00012249162499999999
create,2,212,0.000122436625
create,2,213,0.000122854375
create,2,214,0.00012132675000000001
create,2,215,0.000124106375
create,2,216,0.00012474287499999998
create,2,217,0.00012628162499999998
create,2,218,0.000121447875
create,2,219,0.00012519987500000002
create,2,220,0.00012212362500000002
create,2,221,0.00012469437499999997
create,2,222,0.000126106125
create,2,223,0.00012211775
create,2,224,0.000123096
create,2,225,0.000123903375
create,2,226,0.00012673800000000002
